Investment Category,Stock Ticker,Google Price,Manual Price,Last Price,Last DPS,Yield on Cost,Last Price Yield,Shares,Cost,Cost (Per Share),Unrealized Gain/Loss,Unrealized Gain/Loss (%),Realized Gain/Loss,Dividends Collected,Total Gain/Loss,Mkt Value
Value,ORCL,163.85,0.0,163.85,0.0,0.00%,0.00%,486.2,"$20,007.95",$41.15,"$59,662.61",298.2%,$0.00,$0.00,"$59,662.61","$79,670.56"
Value,BAC,44.06,0.0,44.06,0.0,0.00%,0.00%,1722.8,"$10,000.00",$5.80,"$65,905.12",659.1%,$0.00,$0.00,"$65,905.12","$75,905.12"
Value,WDC,52.35,0.0,52.35,0.0,0.00%,0.00%,322.5,"$10,000.00",$31.00,"$6,884.56",68.8%,$0.00,$0.00,"$6,884.56","$16,884.56"
Special Situation,GRVY,65.3,0.0,65.3,0.0,0.00%,0.00%,6891.1,"$10,000.00",$1.45,"$439,986.80",4399.9%,$0.00,$0.00,"$439,986.80","$449,986.80"
Value,UHAL,62.32,0.0,62.32,0.0,0.00%,0.00%,0.0,$0.39,$14.99,$1.23,315.7%,"$53,357.44",$0.00,"$53,358.67",$1.62
Value,MMM,148.66,0.0,148.66,0.0,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,"$59,427.00",$465.00,"$59,892.00",$0.00
Growth,MSFT,457.36,0.0,457.36,0.0,0.00%,0.00%,373.3,"$10,000.00",$26.79,"$160,712.14",1607.1%,$0.00,$0.00,"$160,712.14","$170,712.14"
Dividend,IBM,260.24,0.0,260.24,0.0,0.00%,0.00%,0.0,$0.15,$30.67,$1.12,748.4%,"$22,266.20",$0.00,"$22,267.32",$1.27
Value,GS,608.44,0.0,608.44,0.0,0.00%,0.00%,4.8,$456.41,$95.44,"$2,453.39",537.5%,"$2,448.46",$0.00,"$4,901.86","$2,909.81"
Growth,YHOO,No Data,13.75,13.75,0.0,0.00%,0.00%,-448.0,"-$20,459.43",$45.67,"$14,299.15",-69.9%,"-$21,296.13",$0.00,"-$6,996.98","-$6,160.28"
Dividend,NFLX,1208.55,0.0,1208.55,0.0,0.00%,0.00%,135.0,"$10,000.00",$74.06,"$153,187.73",1531.9%,$0.00,$0.00,"$153,187.73","$163,187.73"
Growth,AAPL,200.42,0.0,200.42,0.0,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,"$1,822.00","$1,822.00",$0.00
Growth,WNC,8.81,0.0,8.81,0.0,0.00%,0.00%,1541.0,"$20,375.97",$13.22,"-$6,799.76",-33.4%,$0.00,$0.00,"-$6,799.76","$13,576.21"
Value,MU,96.18,,96.18,,0.00%,0.00%,20.0,$585.35,$29.27,"$1,338.25",228.6%,$0.00,$0.00,"$1,338.25","$1,923.60"
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
,,No Data,,,,0.00%,-,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,$0.00,$0.00,$0.00
