Stock Ticker,Google Price,Manual Price,Last Price,Last DPS,Yield on Cost,Last Price Yield,Shares,Cost,Cost (Per Share),Unrealized Gain/Loss,Unrealized Gain/Loss (%),Realized Gain/Loss,Dividends Collected,Total Gain/Loss,Mkt Value
GRVY,$64.67,$0.00,$64.67,$0.00,0.00%,0.00%,6891.1,"$10,000.00",$1.45,"$435,645.43",4356.5%,$0.00,$0.00,"$435,645.43","$445,645.43"
MSFT,$458.87,$0.00,$458.87,$0.00,0.00%,0.00%,373.3,"$10,000.00",$26.79,"$161,275.76",1612.8%,$0.00,$0.00,"$161,275.76","$171,275.76"
NFLX,"$1,191.64",$0.00,"$1,191.64",$0.00,0.00%,0.00%,135.0,"$10,000.00",$74.06,"$150,904.41",1509.0%,$0.00,$0.00,"$150,904.41","$160,904.41"
IBM,$268.41,$0.00,$268.41,$0.00,0.00%,0.00%,0.0,$0.15,$30.67,$1.16,775.0%,"$22,266.20",$0.00,"$22,267.36",$1.31
BAC,$44.77,$0.00,$44.77,$0.00,0.00%,0.00%,1722.8,"$10,000.00",$5.80,"$67,128.29",671.3%,$0.00,$0.00,"$67,128.29","$77,128.29"
GS,$612.30,$0.00,$612.30,$0.00,0.00%,0.00%,4.8,$456.41,$95.44,"$2,471.85",541.6%,"$2,448.46",$0.00,"$4,920.32","$2,928.27"
UHAL,$65.12,$0.00,$65.12,$0.00,0.00%,0.00%,0.0,$0.39,$14.99,$1.31,334.4%,"$53,357.44",$0.00,"$53,358.75",$1.70
ORCL,$159.64,$0.00,$159.64,$0.00,0.00%,0.00%,486.2,"$20,007.95",$41.15,"$57,615.53",288.0%,$0.00,$0.00,"$57,615.53","$77,623.48"
MU,$98.65,,$98.65,,0.00%,0.00%,20.0,$585.35,$29.27,"$1,387.65",237.1%,$0.00,$0.00,"$1,387.65","$1,973.00"
WDC,$50.72,$0.00,$50.72,$0.00,0.00%,0.00%,322.5,"$10,000.00",$31.00,"$6,358.84",63.6%,$0.00,$0.00,"$6,358.84","$16,358.84"
MMM,$154.14,$0.00,$154.14,$0.00,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,"$59,427.00",$465.00,"$59,892.00",$0.00
AAPL,$208.78,$0.00,$208.78,$0.00,0.00%,0.00%,0.0,$0.00,$0.00,$0.00,0.0%,$0.00,"$1,822.00","$1,822.00",$0.00
WNC,$9.76,$0.00,$9.76,$0.00,0.00%,0.00%,1541.0,"$20,375.97",$13.22,"-$5,335.81",-26.2%,$0.00,$0.00,"-$5,335.81","$15,040.16"
YHOO,No Data,$13.75,$13.75,$0.00,0.00%,0.00%,-448.0,"-$20,459.43",$45.67,"$14,299.15",-69.9%,"-$21,296.13",$0.00,"-$6,996.98","-$6,160.28"
