Total Portfolio Cost,"$70,966.80"
Total Portfolio Value,"$943,075.50"
Total Value Portfolio Cost,"$41,050.10"
Total Value Portfolio Value,"$171,178.67"
Total Value Portfolio Unrealised Gain/Loss,"$130,128.57"
Total Value Portfolio Realised Gain/Loss,"$115,232.90"
Total Value Portfolio Dividends Collected,$465.00
Expected Value Portfolio Income,$0.00
Expected Value Portfolio Income Yield on Cost,0.00%
Total Special Situation Portfolio Cost,"$10,000.00"
Total Special Situation Portfolio Value,"$436,618.13"
Total Special Situation Portfolio Unrealised Gain/Loss,"$426,618.13"
Total Special Situation Portfolio Realised Gain/Loss,$0.00
Total Special Situation Portfolio Dividends Collected,$0.00
Expected Special Situation Portfolio Income,$0.00
Expected Special Situation Portfolio Income Yield on Cost,$0.00
Total Growth Portfolio Cost,"$9,916.54"
Total Growth Portfolio Value,"$175,216.95"
Total Growth Portfolio Unrealised Gain/Loss,"$165,300.40"
Total Growth Portfolio Realised Gain/Loss,"-$21,296.13"
Total Growth Portfolio Dividends Collected,"$1,822.00"
Expected Growth Portfolio Income,$0.00
Expected Growth Portfolio Income Yield on Cost,$0.00
Total Dividend Portfolio Cost,"$10,000.15"
Total Dividend Portfolio Value,"$160,061.75"
Total Dividend Portfolio Unrealised Gain/Loss,"$150,061.60"
Total Dividend Portfolio Realised Gain/Loss,"$22,266.20"
Total Dividend Portfolio Dividends Collected,$0.00
Expected Dividend Portfolio Income,$0.00
Expected Dividend Portfolio Income Yield on Cost,$0.00
