Date,Symbol,Price,percent_change_daily
2025-05-21,AAPL,206.86,
2025-05-22,AAPL,202.09,-2.30590737696994
2025-05-23,AAPL,201.36,-0.3612251966945368
2025-05-24,AAPL,195.27,-3.0244338498212175
2025-05-25,AAPL,195.27,0.0
2025-05-26,AAPL,195.27,0.0
2025-05-21,BAC,44.69,
2025-05-22,BAC,43.25,-3.2221973595882747
2025-05-23,BAC,43.31,0.138728323699433
2025-05-24,BAC,43.2,-0.2539829138767047
2025-05-25,BAC,43.2,0.0
2025-05-26,BAC,43.2,0.0
2025-05-21,GRVY,66.62,
2025-05-22,GRVY,65.39,-1.8462924046832807
2025-05-23,GRVY,64.16,-1.8810215629301186
2025-05-24,GRVY,63.36,-1.2468827930174564
2025-05-25,GRVY,63.36,0.0
2025-05-26,GRVY,63.36,0.0
2025-05-21,GS,606.52,
2025-05-22,GS,593.46,-2.153267822990168
2025-05-23,GS,598.23,0.8037609948438051
2025-05-24,GS,598.54,0.051819534292829594
2025-05-25,GS,598.54,0.0
2025-05-26,GS,598.54,0.0
2025-05-21,IBM,266.95,
2025-05-22,IBM,260.87,-2.2775800711743677
2025-05-23,IBM,258.37,-0.9583317361137711
2025-05-24,IBM,258.63,0.10063087819793815
2025-05-25,IBM,258.63,0.0
2025-05-26,IBM,258.63,0.0
2025-05-21,MMM,154.15,
2025-05-22,MMM,149.4,-3.081414206941291
2025-05-23,MMM,149.78,0.2543507362784414
2025-05-24,MMM,147.62,-1.4421151021498213
2025-05-25,MMM,147.62,0.0
2025-05-26,MMM,147.62,0.0
2025-05-21,MSFT,458.17,
2025-05-22,MSFT,452.57,-1.2222537486086038
2025-05-23,MSFT,454.86,0.5059990719667784
2025-05-24,MSFT,450.18,-1.0288880094974306
2025-05-25,MSFT,450.18,0.0
2025-05-26,MSFT,450.18,0.0
2025-05-21,MU,98.1,
2025-05-22,MU,95.84,-2.30377166156982
2025-05-23,MU,94.83,-1.053839732888151
2025-05-24,MU,93.37,-1.539597173890117
2025-05-25,MU,93.37,0.0
2025-05-26,MU,93.37,0.0
2025-05-21,NFLX,1192.02,
2025-05-22,NFLX,1194.63,0.21895605778428084
2025-05-23,NFLX,1187.97,-0.5574947891815896
2025-05-24,NFLX,1185.39,-0.21717720144447394
2025-05-25,NFLX,1185.39,0.0
2025-05-26,NFLX,1185.39,0.0
2025-05-21,ORCL,160.31,
2025-05-22,ORCL,157.18,-1.9524670950034295
2025-05-23,ORCL,157.31,0.08270772362894974
2025-05-24,ORCL,155.97,-0.8518212446761209
2025-05-25,ORCL,155.97,0.0
2025-05-26,ORCL,155.97,0.0
2025-05-21,UHAL,64.27,
2025-05-22,UHAL,61.51,-4.294383071417451
2025-05-23,UHAL,61.62,0.17883271012844038
2025-05-24,UHAL,61.99,0.6004543979227561
2025-05-25,UHAL,61.99,0.0
2025-05-26,UHAL,61.99,0.0
2025-05-21,WDC,50.63,
2025-05-22,WDC,49.49,-2.2516294686944494
2025-05-23,WDC,49.84,0.7072135785007205
2025-05-24,WDC,50.18,0.6821829855537587
2025-05-25,WDC,50.18,0.0
2025-05-26,WDC,50.18,0.0
2025-05-21,WNC,9.69,
2025-05-22,WNC,9.04,-6.707946336429316
2025-05-23,WNC,8.84,-2.212389380530966
2025-05-24,WNC,8.66,-2.036199095022617
2025-05-25,WNC,8.66,0.0
2025-05-26,WNC,8.66,0.0
2025-05-21,YHOO,13.75,
2025-05-22,YHOO,13.75,0.0
2025-05-23,YHOO,13.75,0.0
2025-05-24,YHOO,13.75,0.0
2025-05-25,YHOO,13.75,0.0
2025-05-26,YHOO,13.75,0.0
